"SITE_ID","YEAR","WEEK","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"DEV412","2007.0","12.0","03/20/2007 09:00:00","03/27/2007 08:00:00","0.292","0.734","0.377","1.471","1.824","0.232","0.237","0.111","0.042","0.032","0.028"
"DEV412","2006.0","13.0","03/28/2006 09:00:00","04/04/2006 08:00:00","0.268","0.722","0.418","1.286","1.683","0.24","0.106","0.121","0.027","0.023","0.019"
"DEV412","1997.0","12.0","03/18/1997 09:00:00","03/25/1997 08:00:00","0.254","0.768","0.213","1.32","1.512","0.213","","","","",""
"DEV412","2005.0","13.0","03/29/2005 09:00:00","04/05/2005 08:00:00","0.411","1.088","0.229","0.727","0.944","0.353","0.25","0.19","0.044","0.048","0.061"
"DEV412","1996.0","11.0","03/12/1996 09:00:00","03/19/1996 08:00:00","0.149","0.48","0.184","0.572","0.748","0.116","","","","",""
"DEV412","1998.0","14.0","03/31/1998 09:00:00","04/07/1998 08:00:00","0.313","1.338","0.522","1.329","1.83","0.192","","","","",""
"DEV412","2003.0","11.0","03/11/2003 09:00:00","03/18/2003 08:00:00","0.206","0.762","0.321","1.682","1.976","0.195","0.372","0.213","0.053","0.043",""
"DEV412","2005.0","11.0","03/15/2005 09:00:00","03/22/2005 08:00:00","0.355","1.278","0.42","0.998","1.402","0.284","0.305","0.328","0.048","0.038","0.107"
"DEV412","1999.0","13.0","03/23/1999 09:00:00","03/30/1999 08:00:00","0.219","1.106","0.651","1.706","2.33","0.304","","","","",""
"DEV412","2007.0","11.0","03/13/2007 09:00:00","03/20/2007 08:00:00","0.233","0.711","0.261","1.582","1.818","0.257","0.24","0.09","0.047","0.043","0.027"
"DEV412","1995.0","13.0","03/28/1995 09:00:00","04/04/1995 08:00:00","0.129","0.871","0.15","0.587","0.727","0.285","","","","",""
"DEV412","2006.0","12.0","03/21/2006 09:00:00","03/28/2006 08:00:00","0.129","0.428","0.206","0.781","0.974","0.114","0.163","0.161","0.039","0.028","0.043"
"DEV412","2002.0","11.0","03/12/2002 09:00:00","03/19/2002 08:00:00","0.164","0.785","0.436","0.432","0.861","0.204","0.559","0.293","0.072","0.091",""
"DEV412","2001.0","12.0","03/20/2001 09:00:00","03/27/2001 08:00:00","0.195","0.997","0.298","2.297","2.559","0.388","0.179","0.138","0.024","0.035",""
"DEV412","1998.0","13.0","03/24/1998 09:00:00","03/31/1998 08:00:00","0.149","0.606","0.353","0.793","1.133","0.134","","","","",""
