GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US06001,06001,"Alameda County, California",1510271,1510258,1513043,1530998,1554138,1580247,1608674,1634634,1650306,1658131,1666753
0500000US06003,06003,"Alpine County, California",1175,1175,1161,1093,1110,1127,1082,1087,1057,1121,1101
0500000US06005,06005,"Amador County, California",38091,38091,37884,37538,37101,36625,36738,37037,37438,38551,39383
0500000US06007,06007,"Butte County, California",220000,220002,219945,219952,220873,221664,223570,224812,226529,229207,231256
0500000US06009,06009,"Calaveras County, California",45578,45578,45468,45160,44821,44660,44673,44957,45303,45642,45602
0500000US06011,06011,"Colusa County, California",21419,21407,21437,21327,21294,21265,21198,21269,21553,21675,21627
0500000US06013,06013,"Contra Costa County, California",1049025,1049204,1052559,1065452,1077731,1093758,1109358,1124606,1137194,1144863,1150215
0500000US06015,06015,"Del Norte County, California",28610,28610,28568,28442,28189,27817,27198,27246,27422,27428,27828
0500000US06017,06017,"El Dorado County, California",181058,181058,181133,180918,180578,181497,183161,184660,186082,188722,190678
0500000US06019,06019,"Fresno County, California",930450,930496,932063,939479,945349,952029,961311,970442,977956,986542,994400
0500000US06021,06021,"Glenn County, California",28122,28122,28126,28144,27860,27826,27857,27776,27851,27956,28047
0500000US06023,06023,"Humboldt County, California",134623,134611,135000,135215,134560,134407,134514,135114,136314,136527,136373
0500000US06025,06025,"Imperial County, California",174528,174524,174730,175813,176678,176605,178233,179179,180268,181574,181827
0500000US06027,06027,"Inyo County, California",18546,18542,18512,18393,18353,18360,18320,18174,17996,17948,17987
0500000US06029,06029,"Kern County, California",839631,839619,841072,848140,853963,862557,869957,877197,882361,888988,896764
0500000US06031,06031,"Kings County, California",152982,152982,152381,151886,151026,150416,149603,150199,149509,149696,151366
0500000US06033,06033,"Lake County, California",64665,64664,64735,64247,63963,63809,64058,64254,63884,64162,64382
0500000US06035,06035,"Lassen County, California",34895,34895,34832,34238,33624,32126,31710,31383,30906,31123,30802
